AWO,AO
0.198372,0.144066
0.273167,0.215933
0.399761,0.247567
0.393135,0.269234
0.388244,0.235993
0.421582,0.219377
0.395827,0.227332
0.387060,0.242933
0.376510,0.214585
0.341849,0.215651
0.294039,0.248218
0.269182,0.257845
0.238298,0.213363
0.244418,0.164875
0.223533,0.211937
0.227467,0.201602
0.189306,0.189962
0.181706,0.210318
0.247655,0.176848
0.206312,0.196112
0.133256,0.124144
0.095850,0.091649
0.066102,0.094977
0.042468,0.061062
0.003910,0.041836
0.010511,0.033544
0.019736,0.022192
0.011755,0.014506
0.007749,0.013723
0.011418,0.010256
0.010403,0.018928
0.014291,0.023838
0.024446,0.036233
0.009827,0.037033
0.000283,0.044472
0.000000,0.024445
0.000000,0.012792
0.000000,0.006041
0.000045,0.001124
0.000000,0.000018
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
